========================================================================================================================
VISIBLE CONTROLS: after_click
========================================================================================================================

seq=0001 | title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025' | type='Window' | class='Afx:00007FF6ECF30000:b:0000000000010003:0000000000000006:00000000005A0A61' | auto_id='' | rect={'left': -11, 'top': -11, 'right': 2571, 'bottom': 1539, 'width': 2582, 'height': 1550} | visible=True | enabled=True | source='leap_window' | parent_type='Pane' | parent_title='Desktop 1'
seq=0046 | title='Bridge Tree View' | type='CheckBox' | class='' | auto_id='' | rect={'left': 125, 'top': 111, 'right': 285, 'bottom': 140, 'width': 160, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0043 | title='Roadway' | type='CheckBox' | class='' | auto_id='' | rect={'left': 8, 'top': 126, 'right': 108, 'bottom': 155, 'width': 100, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0051 | title='Rename Bridge' | type='Button' | class='' | auto_id='' | rect={'left': 299, 'top': 137, 'right': 449, 'bottom': 167, 'width': 150, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Commands'
seq=0056 | title='State Specifications' | type='ComboBox' | class='' | auto_id='' | rect={'left': 521, 'top': 138, 'right': 715, 'bottom': 168, 'width': 194, 'height': 30} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='Design Specifications'
seq=0047 | title='Bridge Properties' | type='CheckBox' | class='' | auto_id='' | rect={'left': 125, 'top': 140, 'right': 288, 'bottom': 169, 'width': 163, 'height': 29} | visible=True | enabled=True | source='leap_descendant' | parent_type='ToolBar' | parent_title='View'
seq=0002 | title='' | type='Menu' | class='Afx:00007FF6ECF30000:800:0000000000010003:0000000000000010:0000000000000000' | auto_id='' | rect={'left': 1637, 'top': 175, 'right': 1785, 'bottom': 239, 'width': 148, 'height': 64} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0003 | title='' | type='ToolBar' | class='Afx:ToolBar:ecf30000:8:10003:10' | auto_id='1' | rect={'left': 1639, 'top': 177, 'right': 1783, 'bottom': 237, 'width': 144, 'height': 60} | visible=True | enabled=True | source='leap_descendant' | parent_type='Menu' | parent_title=''
seq=0004 | title='' | type='Pane' | class='Afx:00007FF6ECF30000:800:0000000000010003:0000000000000010:0000000000000000' | auto_id='' | rect={'left': 1640, 'top': 178, 'right': 1788, 'bottom': 242, 'width': 148, 'height': 64} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0026 | title='Bridge Definition' | type='Pane' | class='Afx:ControlBar:ecf30000:8:10003:10' | auto_id='32771' | rect={'left': 0, 'top': 207, 'right': 200, 'bottom': 1492, 'width': 200, 'height': 1285} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0025 | title='' | type='Pane' | class='Afx:Slider:ecf30000:8:10003:10' | auto_id='' | rect={'left': 200, 'top': 207, 'right': 204, 'bottom': 1492, 'width': 4, 'height': 1285} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0082 | title='' | type='Pane' | class='AfxFrameOrView140u' | auto_id='59648' | rect={'left': 204, 'top': 207, 'right': 2218, 'bottom': 1492, 'width': 2014, 'height': 1285} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
seq=0005 | title='' | type='Pane' | class='Afx:Slider:ecf30000:8:10003:10' | auto_id='' | rect={'left': 2218, 'top': 207, 'right': 2222, 'bottom': 1492, 'width': 4, 'height': 1285} | visible=True | enabled=True | source='leap_descendant' | parent_type='Window' | parent_title='SchoppeeGirders2025.lbsx - LEAP Bridge Steel 2025'
